glove, 0.002626, 0.001272, -479232.687500, 51157.531250, 21111.462891, 5056.793945, -0.004578, 241947.515625
glove, 0.002587, 0.001400, 527461.750000, -99363.625000, 21607.906250, 5515.555176, -0.015571, 234833.625000
lego, 0.010093, 0.007074, 9817.495117, -1846.037109, 906.451233, 429.714935, 0.000146, 9589.418945
lego, 0.009519, 0.007322, 5431.240723, -1099.747314, 840.159607, 418.363159, 0.000040, 8750.932617
lego, 0.009271, 0.007833, 3001.020264, -2318.154541, 905.118896, 421.473969, 0.000047, 8937.156250
lego, 0.009776, 0.006766, 7244.882812, -900.354492, 949.952759, 412.280762, -0.000079, 10273.315430
lego, 0.009935, 0.006784, 6816.624023, 1217.686768, 762.211670, 390.241974, -0.000072, 8410.428711
mouse, 0.003117, 0.001997, -18135.876953, -1643.886475, 6000.054688, 2484.605957, -0.000903, 75042.921875
mouse, 0.003254, 0.002062, 12129.846680, 7483.968262, 5708.694824, 2210.391846, 0.000402, 70416.437500
mouse, 0.002967, 0.001928, -26668.437500, 605.591064, 6653.503418, 2747.107910, 0.000205, 81329.671875
mouse, 0.002915, 0.001928, -5024.921387, 245.615234, 6282.094727, 2731.263184, -0.000536, 79122.976562
mouse, 0.003068, 0.001916, 21980.214844, 1310.439575, 6208.830078, 2509.687744, 0.000473, 77576.492188
mouse, 0.003113, 0.001907, 10934.233398, 7217.132324, 6538.700195, 2384.762939, 0.001419, 80743.234375
screw, 0.050615, 0.011818, 79.344589, -18.742825, 252.493988, 9.861837, -0.000004, 3064.434326
screw, 0.050787, 0.011873, 63.527748, -18.941307, 251.113770, 9.865904, 0.000009, 3054.099121
screw, 0.052026, 0.012027, 667.086487, 2.791969, 244.650986, 9.879333, 0.000000, 2821.655029
screw, 0.071584, 0.016217, 1444.301758, -3.015907, 213.550507, 7.437913, 0.000009, 1640.959229
screw, 0.163678, 0.026554, -3227.521484, 10.245666, 257.866364, 6.282120, 0.000001, 1088.126587
screw driver, 0.040878, 0.003726, -88873.906250, 10.335790, 2837.274658, 34.771305, 0.000013, 31108.345703
screw driver, 0.045150, 0.003718, -111195.375000, -37.762150, 3289.721924, 29.305561, -0.000197, 33016.082031
screw driver, 0.037340, 0.004983, 7571.761230, 57.314323, 1384.202759, 20.418287, -0.000028, 15082.724609
screw driver, 0.045848, 0.004164, -83733.312500, 93.725624, 2556.198242, 31.540627, -0.000129, 28131.529297
screw driver, 0.051320, 0.004107, -60724.300781, -1.205175, 2098.288330, 29.563374, 0.000008, 25698.828125
screw driver, 0.051301, 0.004104, -60685.937500, 3.364468, 2101.946045, 29.570213, -0.000004, 25708.216797
ball, 0.012703, 0.012327, 133.187408, 298.818726, 182.288040, 170.626450, 0.000002, 2272.047119
ball, 0.014358, 0.013469, -299.817352, 143.514771, 162.057495, 151.387299, -0.000005, 2022.781006
ball, 0.014630, 0.012415, 570.497070, 201.488251, 177.098709, 145.008987, 0.000009, 2235.452881
ball, 0.012387, 0.011999, 362.845337, 505.837128, 197.264053, 178.441132, 0.000022, 2398.638428
mouse, 0.002786, 0.002456, -18975.628906, 26997.230469, 6423.521973, 3472.572021, 0.003033, 73015.968750
